"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"820BK HTPP Black 2.5in Sq (Length= 41.66 FT, Width=2.83 FT, Area = 127.29 SF, MeshCount=211 x 14)",218-060-06,131.11002,131.11002,SF,050,CUTS,0.12933,0.12933,,000,181,000,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,FRP3,0.06667,0.06667,,000,181,181,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"Hog Ring 1-1/2in Galvanized",HR112G,77,77,EA,070,HOGR,0.25667,0.25667,,000,181,181,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"MFP Braid 1/4in x 1000ft Black",RPYB025BK,91.65627,91.65627,FT,080,MLGO,0.44493,0.44493,,000,181,000,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in",RPS3S050BK,93.02617,93.02617,FT,200,CWS,0.64512,0.64512,,000,181,181,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,000,181,181,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,000,181,181,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,14,14,EA,899,PACK,0.23333,0.23333,,000,181,181,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"Quicklink 10mm ZP",QL10ZP,76,76,EA,899,PACK,1.26667,1.26667,,000,181,181,,,
,091117RR1047,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 3.50 FT x 45.00 FT; With 2 Drain Pan of Length: 2 FT; Net Size: 2.83 FT x 41.66 FT; Number of Nets per Bay: 1",1,"Steel Rod 5/8in x3ft Zinc Galv",ROD58X3ZG,2,2,EA,899,PACK,0.03333,0.03333,,000,181,181,,,
