"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,34,34,EA,299,FRP3,0.80952,0.80952,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,100,100,EA,599,ASY,0.1,0.1,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,50,50,EA,299,FRP3,0.20834,0.20834,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,288.35,288.35,M,140,CUTP,1.9,1.9,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,50,50,EA,299,FRP3,1.19048,1.19048,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,100,100,EA,299,FRP3,0.41666,0.41666,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,50,50,EA,599,ASY,0.05,0.05,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,2500,2500,EA,299,FRP8,108.69565,108.69565,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,425,425,EA,299,FRP8,18.47826,18.47826,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,100,100,EA,299,FRP3,2.38096,2.38096,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,120.399,120.399,M,140,CUTP,0.93333,0.93333,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,100,100,EA,299,FRP3,2.38096,2.38096,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,100,100,EA,599,ASY,0.1,0.1,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,34,34,EA,299,FRP3,0.80952,0.80952,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,425,425,EA,299,FRP8,18.47826,18.47826,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,50,50,EA,299,FRP3,0.20834,0.20834,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,50,50,EA,599,ASY,0.05,0.05,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,120.399,120.399,M,140,CUTP,0.93333,0.93333,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,50,50,EA,299,FRP3,1.19048,1.19048,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,288.35,288.35,M,140,CUTP,1.9,1.9,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,100,100,EA,299,FRP3,0.41666,0.41666,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,2500,2500,EA,299,FRP8,108.69565,108.69565,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,100,100,EA,299,FRP3,2.38096,2.38096,,430,181,181,,,
,082117BS1031,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;  Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,100,100,EA,299,FRP3,2.38096,2.38096,,430,181,181,,,
