"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,082117BH1600,0082312-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Art No 2017G Black Plastic Thimble for Corner Attachment Please ship with Attachment Screws
Art No 2017G Black Plastic Thi",TMPSN,4,4,EA,120,DRIL,0.13333,0.13333,,000,181,181,,,
,082117BH1600,0082312-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Snap Hook 120mm ZP",SH120ZP,78,78,EA,120,ASY,1.3,1.3,,000,181,181,,,
,082117BH1600,0082312-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"210/378 Ply Knotted Nylon FR, 7in Str x 60MD x 700ML Expanded Single Selvedge, Dyed Black and Bonded (575lb Bale)",120-089-06-25FR,800,800,SF,120,CUTD,0.6867,0.6867,,000,181,181,,,
,082117BH1600,0082312-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"HTPP Polysteel 3 Strand 1/2in x 1,000mHTPP Polysteel 3 Strand 1/2in",RPS3S050BK,218.33,218.33,FT,120,CWS,1.5595,1.5595,,000,181,181,,,
,082117BH1600,0082312-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,,999,SETU,0.00556,0.00556,,000,181,181,,,
,082117BH1600,0082312-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Metal Tag for Personnel Safety NetMetal Tag for Personnel Safety",MT-PSN,1,1,EA,120,ATT,0.03333,0.03333,,000,181,000,,,
,082117BH1600,0082312-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Short Double Loop Tag Clip for Metal Tag for Personnel Safety NetShort Double Loop Tag Clip for",TC-PSN,1,1,EA,120,ATT,0.03333,0.03333,,000,181,000,,,
,082117BH1600,0087874-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"210/378 Ply Knotted Nylon FR, 7in Str x 60MD x 700ML Expanded Single Selvedge, Dyed Black and Bonded (575lb Bale)",120-089-06-25FR,800,800,SF,120,CUTD,0.6867,0.6867,,000,181,181,,,
,082117BH1600,0087874-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Snap Hook 120mm ZP",SH120ZP,78,78,EA,120,ASY,1.3,1.3,,000,181,181,,,
,082117BH1600,0087874-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,,999,SETU,0.00556,0.00556,,000,181,181,,,
,082117BH1600,0087874-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Metal Tag for Personnel Safety NetMetal Tag for Personnel Safety",MT-PSN,1,1,EA,120,ATT,0.03333,0.03333,,000,181,000,,,
,082117BH1600,0087874-001,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 100.00 FT x 8.00 FT",1,"Short Double Loop Tag Clip for Metal Tag for Personnel Safety NetShort Double Loop Tag Clip for",TC-PSN,1,1,EA,120,ATT,0.03333,0.03333,,000,181,000,,,
