"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,2,EA,599,FRP3,0.002,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,14,EA,299,FRP8,0.6087,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : Huck Aluminum T",H445-18-VP,7,EA,299,FRP7,0.30435,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : Huck Aluminum T",H445-18-VP,7,EA,299,FRP7,0.30435,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",H438-18,2,EA,299,FRP3,0.04762,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",H438-18,2,EA,299,FRP3,0.04762,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : Huck Aluminum T",H438-18-VPS,7,EA,299,FRP6,0.00292,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : Huck Aluminum T",H438-18-VPS,7,EA,299,FRP6,0.00292,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,2,EA,299,FRP3,0.06667,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,2,EA,299,FRP3,0.06667,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,5.27,M,140,CUTP,0.15,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,19.047,M,140,CUTP,0.23333,,000,181,181,,,
